id,topic,text,label,source_type,year,sentiment_score,argument_strength,word_count,contains_statistics
732088,Future of work with AI,AI widens economic inequality,con,news,2019,0.82,0.66,4,1
506759,Future of work with AI,AI widens economic inequality,con,news,2019,0.83,0.36,4,1
715391,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,social_media,2021,0.47,0.86,9,0
663591,Future of work with AI,AI widens economic inequality,con,research,2020,-0.69,0.06,4,0
654294,Automation impact on employment,AI reduces human error in industries,pro,research,2019,0.75,0.07,6,0
106911,Automation impact on employment,Both risks and benefits exist with AI,neutral,news,2018,-0.71,0.44,7,1
915756,AI will replace jobs,AI will create new job opportunities,pro,blog,2017,-0.95,0.26,6,0
927359,Automation impact on employment,AI widens economic inequality,con,news,2019,-0.91,0.04,4,1
837489,Future of work with AI,Automation increases productivity and efficiency,pro,research,2018,0.26,0.85,5,1
755233,AI will replace jobs,AI widens economic inequality,con,social_media,2021,-0.22,0.88,4,1
625212,Automation impact on employment,AI is transforming industries rapidly,neutral,news,2022,-0.08,0.45,5,1
617512,AI will replace jobs,Automation increases productivity and efficiency,pro,blog,2025,0.04,0.52,5,1
291681,Future of work with AI,Automation replaces human workers,con,research,2015,-0.92,0.63,4,0
882796,AI will replace jobs,AI will lead to massive unemployment,con,social_media,2021,0.81,0.72,6,1
197878,AI will replace jobs,AI is transforming industries rapidly,neutral,news,2025,0.04,0.3,5,1
609700,Future of work with AI,Low-skilled workers are at risk due to AI,con,social_media,2023,0.79,0.6,8,0
440635,Future of work with AI,AI will lead to massive unemployment,con,research,2016,0.73,0.35,6,0
893621,AI will replace jobs,AI will lead to massive unemployment,con,social_media,2015,0.56,0.21,6,0
878210,AI will replace jobs,Automation increases productivity and efficiency,pro,research,2021,-0.01,0.6,5,0
629168,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,news,2024,-0.98,0.74,9,0
344131,Future of work with AI,Technology always creates more jobs than it destroys,pro,research,2025,0.3,0.22,8,0
121885,AI will replace jobs,Both risks and benefits exist with AI,neutral,social_media,2018,-0.88,0.83,7,0
657426,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,news,2024,0.51,0.33,9,0
453064,AI will replace jobs,AI will create new job opportunities,pro,research,2024,0.05,0.8,6,1
242002,AI will replace jobs,AI will create new job opportunities,pro,blog,2015,0.51,0.84,6,1
808865,Future of work with AI,AI reduces human error in industries,pro,news,2016,0.88,0.15,6,1
799097,Automation impact on employment,AI reduces human error in industries,pro,news,2022,-0.47,0.11,6,0
203489,AI will replace jobs,Both risks and benefits exist with AI,neutral,social_media,2015,0.38,0.17,7,1
876385,AI will replace jobs,Automation replaces human workers,con,blog,2022,0.66,0.12,4,0
195912,AI will replace jobs,AI will lead to massive unemployment,con,research,2021,-0.53,0.25,6,0
373156,Automation impact on employment,AI is transforming industries rapidly,neutral,social_media,2023,-0.67,0.05,5,0
687706,AI will replace jobs,Automation replaces human workers,con,social_media,2015,0.39,0.03,4,1
940176,Automation impact on employment,AI widens economic inequality,con,news,2017,-0.64,0.98,4,0
844075,AI will replace jobs,Technology always creates more jobs than it destroys,pro,news,2025,-0.55,0.67,8,0
461239,Automation impact on employment,AI will lead to massive unemployment,con,research,2019,0.51,0.11,6,0
330830,Automation impact on employment,AI reduces human error in industries,pro,blog,2020,0.16,0.8,6,0
822324,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,social_media,2021,-0.45,0.94,9,0
890453,Future of work with AI,AI reduces human error in industries,pro,social_media,2024,-0.33,0.99,6,0
127102,Future of work with AI,AI widens economic inequality,con,research,2023,-0.49,0.43,4,1
239997,Automation impact on employment,AI will lead to massive unemployment,con,news,2025,0.91,0.18,6,1
722434,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,news,2022,0.68,0.28,9,1
455537,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,research,2019,0.18,0.14,9,1
281019,Future of work with AI,Automation replaces human workers,con,blog,2023,-0.59,0.89,4,0
579037,Future of work with AI,Automation replaces human workers,con,blog,2018,0.45,0.71,4,0
772246,AI will replace jobs,AI adoption is growing worldwide,neutral,research,2022,-0.26,0.71,5,1
953086,AI will replace jobs,AI reduces human error in industries,pro,blog,2018,0.44,0.14,6,0
321968,AI will replace jobs,Low-skilled workers are at risk due to AI,con,research,2021,0.81,0.93,8,1
308843,AI will replace jobs,Technology always creates more jobs than it destroys,pro,social_media,2017,0.12,0.44,8,1
576533,Automation impact on employment,Technology always creates more jobs than it destroys,pro,research,2024,0.12,0.73,8,1
310679,Future of work with AI,Technology always creates more jobs than it destroys,pro,news,2023,0.04,0.95,8,1
770401,Future of work with AI,Technology always creates more jobs than it destroys,pro,news,2024,0.37,0.21,8,0
147170,AI will replace jobs,Technology always creates more jobs than it destroys,pro,social_media,2017,-0.31,0.45,8,0
582936,AI will replace jobs,AI widens economic inequality,con,research,2023,0.52,0.74,4,0
950586,AI will replace jobs,AI adoption is growing worldwide,neutral,research,2015,0.28,0.53,5,0
249704,Future of work with AI,AI will lead to massive unemployment,con,social_media,2023,-0.27,0.78,6,0
704400,AI will replace jobs,AI is transforming industries rapidly,neutral,social_media,2017,-0.95,0.94,5,0
856574,Future of work with AI,Automation increases productivity and efficiency,pro,blog,2015,-0.16,1.0,5,0
411314,Automation impact on employment,AI will create new job opportunities,pro,social_media,2018,0.32,0.72,6,0
784263,Future of work with AI,AI widens economic inequality,con,news,2015,0.54,0.96,4,0
919957,Automation impact on employment,AI reduces human error in industries,pro,social_media,2022,-0.7,0.31,6,1
141357,AI will replace jobs,AI will create new job opportunities,pro,social_media,2024,-0.2,0.12,6,1
614994,Automation impact on employment,AI reduces human error in industries,pro,research,2025,0.33,0.82,6,0
759812,Automation impact on employment,Both risks and benefits exist with AI,neutral,news,2017,0.4,0.05,7,0
852163,Automation impact on employment,Both risks and benefits exist with AI,neutral,blog,2017,0.98,0.67,7,1
236850,Future of work with AI,AI adoption is growing worldwide,neutral,blog,2019,-0.06,0.24,5,0
503865,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,social_media,2022,-0.7,0.91,9,1
172740,Future of work with AI,AI adoption is growing worldwide,neutral,social_media,2025,0.29,0.26,5,0
651914,AI will replace jobs,Both risks and benefits exist with AI,neutral,news,2023,0.01,0.65,7,0
143891,AI will replace jobs,AI widens economic inequality,con,social_media,2024,0.86,0.76,4,1
561267,AI will replace jobs,AI widens economic inequality,con,research,2016,-0.29,0.24,4,0
914174,AI will replace jobs,Both risks and benefits exist with AI,neutral,research,2023,-0.25,0.37,7,1
327049,AI will replace jobs,AI adoption is growing worldwide,neutral,social_media,2021,-0.93,0.13,5,0
476327,AI will replace jobs,AI will lead to massive unemployment,con,social_media,2025,-0.65,0.28,6,0
428340,Automation impact on employment,Automation increases productivity and efficiency,pro,research,2017,-0.26,0.91,5,0
129956,Automation impact on employment,AI adoption is growing worldwide,neutral,news,2019,0.27,0.16,5,1
577056,AI will replace jobs,Automation increases productivity and efficiency,pro,social_media,2020,-0.79,0.28,5,1
936507,AI will replace jobs,Automation replaces human workers,con,blog,2023,-0.8,0.05,4,1
217617,Automation impact on employment,AI will lead to massive unemployment,con,social_media,2019,-0.22,0.52,6,0
617048,Future of work with AI,AI widens economic inequality,con,research,2024,0.76,0.62,4,0
780468,AI will replace jobs,AI widens economic inequality,con,social_media,2018,-0.37,0.6,4,1
785760,AI will replace jobs,Low-skilled workers are at risk due to AI,con,blog,2024,0.18,0.49,8,0
424899,AI will replace jobs,Both risks and benefits exist with AI,neutral,social_media,2018,0.5,0.43,7,0
248239,AI will replace jobs,Automation replaces human workers,con,social_media,2019,-0.39,0.45,4,1
722525,Future of work with AI,AI will lead to massive unemployment,con,social_media,2021,-0.0,0.12,6,1
855858,Automation impact on employment,AI reduces human error in industries,pro,news,2023,0.3,0.73,6,0
827308,Future of work with AI,AI will lead to massive unemployment,con,social_media,2024,-0.56,0.92,6,0
855192,Future of work with AI,AI widens economic inequality,con,social_media,2018,0.46,0.05,4,1
483442,AI will replace jobs,AI reduces human error in industries,pro,research,2020,0.7,0.7,6,1
715065,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,research,2023,0.3,0.65,9,1
891297,AI will replace jobs,AI reduces human error in industries,pro,news,2020,-0.25,0.89,6,1
750172,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,news,2015,0.1,0.27,9,1
638245,AI will replace jobs,Technology always creates more jobs than it destroys,pro,blog,2024,0.09,0.86,8,1
819873,Future of work with AI,AI adoption is growing worldwide,neutral,blog,2025,0.01,0.79,5,0
700280,Automation impact on employment,Technology always creates more jobs than it destroys,pro,research,2025,-0.83,0.41,8,0
302106,Automation impact on employment,AI will lead to massive unemployment,con,blog,2015,0.98,0.84,6,1
949522,AI will replace jobs,AI widens economic inequality,con,news,2024,-0.45,0.94,4,1
983632,Automation impact on employment,Automation increases productivity and efficiency,pro,news,2017,0.71,0.98,5,0
171089,Future of work with AI,Low-skilled workers are at risk due to AI,con,blog,2024,0.34,0.9,8,1
933592,AI will replace jobs,AI is transforming industries rapidly,neutral,social_media,2025,0.14,0.18,5,0
443837,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,news,2017,-0.22,0.32,9,0
405569,Automation impact on employment,Technology always creates more jobs than it destroys,pro,blog,2024,0.07,0.33,8,0
627877,AI will replace jobs,Technology always creates more jobs than it destroys,pro,news,2015,-0.88,1.0,8,1
564312,AI will replace jobs,AI will lead to massive unemployment,con,social_media,2015,-0.59,0.37,6,0
128129,Automation impact on employment,AI reduces human error in industries,pro,social_media,2023,-0.2,0.8,6,1
120601,Future of work with AI,AI reduces human error in industries,pro,news,2021,0.57,0.08,6,1
812249,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,news,2025,0.17,0.21,9,1
539319,Future of work with AI,AI will create new job opportunities,pro,social_media,2020,-0.4,0.25,6,0
311532,Future of work with AI,AI is transforming industries rapidly,neutral,news,2017,-0.59,0.49,5,0
727191,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,blog,2022,-0.2,0.49,9,1
179417,Future of work with AI,Technology always creates more jobs than it destroys,pro,social_media,2021,0.99,0.97,8,1
215944,Future of work with AI,AI is transforming industries rapidly,neutral,blog,2025,0.31,0.89,5,1
791211,Automation impact on employment,AI will create new job opportunities,pro,blog,2017,0.66,0.76,6,0
914441,Future of work with AI,Both risks and benefits exist with AI,neutral,social_media,2017,-0.12,0.4,7,1
962185,AI will replace jobs,AI will lead to massive unemployment,con,social_media,2025,0.61,0.11,6,1
991355,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,research,2020,0.16,0.95,9,0
729856,Automation impact on employment,AI reduces human error in industries,pro,research,2025,-0.54,0.54,6,0
204791,AI will replace jobs,Automation replaces human workers,con,news,2016,0.34,0.26,4,0
153248,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,blog,2022,0.81,0.34,9,1
616954,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,blog,2015,0.48,0.34,9,1
643661,Future of work with AI,AI reduces human error in industries,pro,social_media,2021,0.98,0.53,6,0
809491,Future of work with AI,AI is transforming industries rapidly,neutral,social_media,2015,-0.7,0.37,5,0
992376,AI will replace jobs,Technology always creates more jobs than it destroys,pro,blog,2020,1.0,0.75,8,1
657030,Automation impact on employment,Low-skilled workers are at risk due to AI,con,social_media,2020,0.74,0.13,8,1
122526,Automation impact on employment,Both risks and benefits exist with AI,neutral,research,2019,-0.49,0.47,7,0
149331,Automation impact on employment,Technology always creates more jobs than it destroys,pro,research,2015,0.91,0.57,8,0
645813,Automation impact on employment,AI is transforming industries rapidly,neutral,blog,2015,-0.21,0.01,5,1
496053,Automation impact on employment,Low-skilled workers are at risk due to AI,con,news,2024,-0.48,0.04,8,0
847260,AI will replace jobs,AI widens economic inequality,con,news,2016,0.28,0.57,4,1
598459,AI will replace jobs,AI widens economic inequality,con,social_media,2024,-0.06,0.52,4,0
830363,Future of work with AI,AI will lead to massive unemployment,con,research,2021,-0.75,0.06,6,1
932256,AI will replace jobs,Low-skilled workers are at risk due to AI,con,news,2019,-0.69,0.39,8,1
371953,Automation impact on employment,Both risks and benefits exist with AI,neutral,social_media,2019,0.41,0.04,7,0
821352,Automation impact on employment,Automation replaces human workers,con,blog,2019,0.62,0.6,4,1
357572,AI will replace jobs,AI is transforming industries rapidly,neutral,social_media,2024,-0.84,0.07,5,1
235515,AI will replace jobs,AI widens economic inequality,con,research,2018,0.79,0.54,4,0
152994,Future of work with AI,AI is transforming industries rapidly,neutral,research,2017,-0.86,0.74,5,1
198939,Automation impact on employment,AI adoption is growing worldwide,neutral,research,2021,0.06,0.77,5,1
287970,Future of work with AI,AI is transforming industries rapidly,neutral,research,2016,0.11,0.09,5,0
737947,AI will replace jobs,AI will create new job opportunities,pro,blog,2024,0.17,0.41,6,1
117221,Automation impact on employment,Low-skilled workers are at risk due to AI,con,social_media,2023,-0.97,0.93,8,0
949137,AI will replace jobs,Automation replaces human workers,con,news,2016,0.37,0.08,4,1
980644,Automation impact on employment,AI adoption is growing worldwide,neutral,social_media,2021,0.13,0.62,5,0
987444,Future of work with AI,AI widens economic inequality,con,social_media,2017,0.07,0.23,4,0
367988,Automation impact on employment,AI widens economic inequality,con,news,2016,0.62,0.7,4,0
948689,AI will replace jobs,AI is transforming industries rapidly,neutral,social_media,2017,-0.1,0.72,5,1
823165,Automation impact on employment,AI reduces human error in industries,pro,social_media,2018,0.21,0.16,6,0
837384,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,news,2022,-0.16,0.43,9,0
152180,AI will replace jobs,AI will create new job opportunities,pro,blog,2019,-0.32,0.06,6,0
811476,Automation impact on employment,AI reduces human error in industries,pro,news,2017,0.58,0.79,6,1
937982,AI will replace jobs,AI reduces human error in industries,pro,news,2016,0.92,0.38,6,0
745388,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,social_media,2021,-0.01,1.0,9,1
227600,Automation impact on employment,AI will lead to massive unemployment,con,social_media,2025,0.49,0.65,6,1
366113,AI will replace jobs,AI adoption is growing worldwide,neutral,social_media,2021,-0.68,0.68,5,0
559192,Future of work with AI,AI reduces human error in industries,pro,research,2018,-0.06,0.17,6,1
124486,AI will replace jobs,AI widens economic inequality,con,blog,2021,-0.12,0.09,4,1
765091,Future of work with AI,AI will create new job opportunities,pro,research,2019,-0.84,0.21,6,0
275917,Automation impact on employment,Automation replaces human workers,con,blog,2024,0.67,0.68,4,0
385721,Future of work with AI,AI adoption is growing worldwide,neutral,blog,2025,0.84,0.65,5,1
126651,AI will replace jobs,AI widens economic inequality,con,news,2020,0.2,0.08,4,1
835125,Future of work with AI,AI is transforming industries rapidly,neutral,social_media,2023,-0.8,0.09,5,0
760917,AI will replace jobs,Automation increases productivity and efficiency,pro,social_media,2018,-0.01,1.0,5,0
492054,Future of work with AI,AI is transforming industries rapidly,neutral,news,2022,0.14,0.02,5,1
386736,AI will replace jobs,Both risks and benefits exist with AI,neutral,blog,2020,0.64,0.07,7,0
652287,Future of work with AI,AI widens economic inequality,con,research,2018,0.01,0.29,4,0
271972,Automation impact on employment,Automation increases productivity and efficiency,pro,social_media,2022,0.23,0.43,5,0
508130,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,social_media,2017,-0.49,0.22,9,1
683749,Future of work with AI,Both risks and benefits exist with AI,neutral,news,2018,-0.44,0.87,7,1
476712,AI will replace jobs,AI adoption is growing worldwide,neutral,social_media,2019,-0.48,0.72,5,1
906292,Automation impact on employment,AI reduces human error in industries,pro,social_media,2024,-0.58,0.23,6,0
817207,AI will replace jobs,AI will lead to massive unemployment,con,blog,2017,-0.61,0.61,6,1
304969,AI will replace jobs,AI reduces human error in industries,pro,news,2017,0.86,0.86,6,0
193147,Future of work with AI,Both risks and benefits exist with AI,neutral,research,2015,0.17,0.99,7,0
920964,Future of work with AI,AI will create new job opportunities,pro,social_media,2021,-0.23,0.38,6,0
520042,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,social_media,2020,-0.39,0.43,9,0
617321,AI will replace jobs,Automation replaces human workers,con,blog,2024,0.94,0.62,4,0
822569,Automation impact on employment,AI is transforming industries rapidly,neutral,social_media,2018,0.16,0.62,5,0
763873,AI will replace jobs,Automation increases productivity and efficiency,pro,blog,2020,0.42,0.44,5,0
195294,Automation impact on employment,Both risks and benefits exist with AI,neutral,social_media,2025,-0.19,0.8,7,0
767626,Future of work with AI,AI adoption is growing worldwide,neutral,blog,2016,0.48,0.89,5,1
365002,Automation impact on employment,AI will lead to massive unemployment,con,research,2019,-0.63,0.3,6,0
140425,Automation impact on employment,Both risks and benefits exist with AI,neutral,research,2019,-0.45,0.74,7,1
583448,Future of work with AI,AI will create new job opportunities,pro,research,2024,0.45,0.14,6,1
676624,Future of work with AI,AI reduces human error in industries,pro,blog,2021,-0.32,0.3,6,0
889028,Automation impact on employment,Low-skilled workers are at risk due to AI,con,blog,2024,-0.05,0.04,8,1
207810,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,news,2017,0.26,0.51,9,0
269287,Future of work with AI,Automation increases productivity and efficiency,pro,social_media,2017,0.02,0.4,5,1
520018,Future of work with AI,Automation replaces human workers,con,research,2015,-0.79,0.52,4,0
383261,Future of work with AI,AI will lead to massive unemployment,con,news,2018,-0.5,0.57,6,1
765027,AI will replace jobs,Automation replaces human workers,con,social_media,2021,-0.83,0.08,4,1
730021,Future of work with AI,Technology always creates more jobs than it destroys,pro,social_media,2017,0.18,0.01,8,1
657059,Future of work with AI,Low-skilled workers are at risk due to AI,con,research,2023,-0.99,0.79,8,1
584851,Future of work with AI,Automation replaces human workers,con,research,2025,-0.5,0.47,4,1
665943,AI will replace jobs,AI widens economic inequality,con,research,2021,0.99,0.9,4,0
668992,Automation impact on employment,Both risks and benefits exist with AI,neutral,research,2022,0.91,0.69,7,0
346865,Automation impact on employment,AI reduces human error in industries,pro,research,2020,0.97,0.31,6,0
746556,AI will replace jobs,AI will create new job opportunities,pro,social_media,2016,-0.72,0.76,6,0
497910,Automation impact on employment,AI is transforming industries rapidly,neutral,news,2024,0.58,0.66,5,1
433407,AI will replace jobs,Both risks and benefits exist with AI,neutral,news,2021,-0.94,0.9,7,0
527453,Automation impact on employment,AI will lead to massive unemployment,con,research,2017,0.52,0.63,6,1
423708,AI will replace jobs,Automation increases productivity and efficiency,pro,blog,2020,0.93,0.67,5,0
945125,Future of work with AI,Automation increases productivity and efficiency,pro,news,2019,-0.61,0.69,5,0
382038,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,social_media,2021,-0.13,0.67,9,1
778415,Future of work with AI,AI widens economic inequality,con,news,2019,0.0,0.13,4,1
996659,AI will replace jobs,Low-skilled workers are at risk due to AI,con,research,2017,-0.59,0.75,8,1
973442,Automation impact on employment,AI will create new job opportunities,pro,research,2022,0.52,0.19,6,0
995906,AI will replace jobs,AI adoption is growing worldwide,neutral,news,2023,0.64,0.22,5,1
100448,Automation impact on employment,AI adoption is growing worldwide,neutral,research,2015,0.38,0.33,5,1
977686,Future of work with AI,AI widens economic inequality,con,research,2016,0.21,0.87,4,1
781885,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,social_media,2019,0.99,0.98,9,1
804517,Automation impact on employment,AI reduces human error in industries,pro,blog,2024,0.77,0.26,6,1
937497,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,blog,2019,-0.03,0.22,9,1
504863,AI will replace jobs,AI adoption is growing worldwide,neutral,research,2023,0.24,0.88,5,1
558467,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,blog,2020,0.72,0.82,9,1
559491,Future of work with AI,AI will create new job opportunities,pro,news,2018,0.03,0.27,6,1
126633,Automation impact on employment,AI reduces human error in industries,pro,blog,2020,0.05,0.92,6,0
448018,AI will replace jobs,AI reduces human error in industries,pro,research,2019,-0.28,0.89,6,0
823479,Automation impact on employment,Automation replaces human workers,con,news,2022,0.82,0.92,4,0
994006,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,social_media,2021,-0.89,0.2,9,0
587129,Future of work with AI,AI will lead to massive unemployment,con,research,2021,0.74,0.09,6,0
963715,Automation impact on employment,AI adoption is growing worldwide,neutral,blog,2020,0.7,0.16,5,1
442886,Automation impact on employment,AI will create new job opportunities,pro,social_media,2020,0.83,0.49,6,0
573277,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,research,2023,0.1,0.35,9,0
754152,Future of work with AI,AI reduces human error in industries,pro,social_media,2022,0.22,0.51,6,0
997655,Automation impact on employment,Automation increases productivity and efficiency,pro,social_media,2022,0.51,0.35,5,1
423818,Automation impact on employment,Low-skilled workers are at risk due to AI,con,research,2022,0.0,0.57,8,0
352159,Future of work with AI,Low-skilled workers are at risk due to AI,con,news,2021,-0.37,0.96,8,0
270606,AI will replace jobs,AI is transforming industries rapidly,neutral,social_media,2019,-0.08,0.44,5,1
118462,Future of work with AI,AI reduces human error in industries,pro,research,2016,0.4,0.24,6,0
575926,Automation impact on employment,AI reduces human error in industries,pro,research,2018,-0.57,0.21,6,0
427787,AI will replace jobs,AI will create new job opportunities,pro,research,2021,-0.87,0.19,6,1
615597,Automation impact on employment,Both risks and benefits exist with AI,neutral,blog,2025,-0.59,0.34,7,0
483012,AI will replace jobs,AI adoption is growing worldwide,neutral,blog,2020,-0.79,0.26,5,0
362397,AI will replace jobs,Technology always creates more jobs than it destroys,pro,research,2018,0.94,0.55,8,1
516184,Automation impact on employment,Automation increases productivity and efficiency,pro,blog,2016,0.55,0.72,5,0
316417,AI will replace jobs,AI will create new job opportunities,pro,blog,2018,-0.61,0.5,6,0
293309,Automation impact on employment,AI will create new job opportunities,pro,research,2021,-0.23,0.24,6,0
494725,Automation impact on employment,AI reduces human error in industries,pro,research,2019,-0.98,0.04,6,0
505349,Automation impact on employment,AI adoption is growing worldwide,neutral,social_media,2022,-0.42,0.09,5,1
392242,Future of work with AI,AI reduces human error in industries,pro,research,2024,-0.03,0.17,6,1
151227,Future of work with AI,Automation increases productivity and efficiency,pro,research,2016,-0.07,0.86,5,1
120962,Future of work with AI,Both risks and benefits exist with AI,neutral,research,2021,0.64,0.51,7,1
546119,AI will replace jobs,Low-skilled workers are at risk due to AI,con,research,2021,0.37,0.7,8,0
688401,Automation impact on employment,AI reduces human error in industries,pro,research,2018,0.7,0.36,6,1
388189,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,social_media,2015,0.05,0.82,9,0
761864,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,news,2021,0.29,0.31,9,1
863644,AI will replace jobs,AI will lead to massive unemployment,con,social_media,2025,-0.56,0.34,6,0
108516,Automation impact on employment,AI is transforming industries rapidly,neutral,social_media,2015,-0.08,0.58,5,1
103896,Automation impact on employment,AI reduces human error in industries,pro,blog,2016,-0.3,0.71,6,0
732433,AI will replace jobs,Both risks and benefits exist with AI,neutral,social_media,2020,0.42,0.65,7,0
541529,AI will replace jobs,Automation replaces human workers,con,research,2023,-0.85,0.98,4,0
574757,Future of work with AI,AI will create new job opportunities,pro,social_media,2025,-0.32,0.11,6,0
261698,Future of work with AI,Both risks and benefits exist with AI,neutral,blog,2019,0.7,0.04,7,0
341248,Automation impact on employment,AI reduces human error in industries,pro,social_media,2022,-0.58,0.61,6,1
225805,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,blog,2016,-0.49,0.38,9,1
763252,AI will replace jobs,AI is transforming industries rapidly,neutral,research,2016,-0.51,0.22,5,0
179850,Automation impact on employment,AI is transforming industries rapidly,neutral,blog,2015,-0.64,0.26,5,1
907523,Automation impact on employment,Technology always creates more jobs than it destroys,pro,research,2016,-0.27,0.43,8,1
517896,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,research,2021,0.13,0.83,9,1
485133,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,blog,2024,0.55,0.93,9,0
962525,Future of work with AI,Automation replaces human workers,con,blog,2021,-0.35,0.36,4,0
322430,AI will replace jobs,Both risks and benefits exist with AI,neutral,social_media,2016,0.01,0.45,7,1
667976,AI will replace jobs,Low-skilled workers are at risk due to AI,con,news,2024,-0.73,0.26,8,1
215132,Future of work with AI,Automation increases productivity and efficiency,pro,social_media,2016,-0.56,0.98,5,0
602775,Automation impact on employment,Automation increases productivity and efficiency,pro,research,2018,-0.01,0.11,5,0
181447,Automation impact on employment,AI is transforming industries rapidly,neutral,blog,2024,0.3,0.49,5,1
265451,Future of work with AI,AI widens economic inequality,con,research,2025,0.4,0.08,4,0
528651,Automation impact on employment,Automation increases productivity and efficiency,pro,social_media,2016,-0.46,0.85,5,0
666860,Future of work with AI,The impact of AI on jobs is still uncertain,neutral,research,2023,-0.83,0.71,9,0
737578,Future of work with AI,AI will create new job opportunities,pro,news,2021,0.39,0.81,6,1
240650,Automation impact on employment,Automation replaces human workers,con,news,2023,0.15,0.78,4,1
781291,Future of work with AI,Technology always creates more jobs than it destroys,pro,research,2015,-0.29,0.58,8,1
162939,Automation impact on employment,AI adoption is growing worldwide,neutral,blog,2022,-0.72,0.49,5,1
141543,AI will replace jobs,AI is transforming industries rapidly,neutral,blog,2025,-0.74,0.47,5,1
711360,Automation impact on employment,AI adoption is growing worldwide,neutral,blog,2020,-0.05,0.69,5,0
109949,Future of work with AI,AI widens economic inequality,con,social_media,2016,-0.85,0.84,4,1
512999,Automation impact on employment,The impact of AI on jobs is still uncertain,neutral,social_media,2016,0.43,0.31,9,1
695377,Automation impact on employment,AI is transforming industries rapidly,neutral,social_media,2022,-0.78,0.99,5,1
910639,Automation impact on employment,Both risks and benefits exist with AI,neutral,social_media,2023,-0.36,0.6,7,0
488147,Automation impact on employment,AI adoption is growing worldwide,neutral,social_media,2019,0.3,0.89,5,0
742118,AI will replace jobs,Automation replaces human workers,con,social_media,2025,0.56,0.06,4,1
